,age,height,job,city,favorite music style
0,30.23707114172145,179.87429831728716,designer,paris,trap
1,27.91579567883052,172.65958728291392,fireman,marseille,hiphop
2,32.205338297756505,181.3374906521954,teacher,paris,metal
3,26.59521474732847,172.33788497248983,designer,toulouse,metal
4,27.394779546771204,182.70802979613254,teacher,paris,metal
5,29.71002177185123,177.0371963362957,doctor,toulouse,rock
6,41.78948991853465,188.47652510746485,fireman,marseille,rap
7,36.66562238919714,175.10274452192562,painter,toulouse,rock
8,33.838742443411675,176.44194248226182,painter,paris,classical
9,30.037158178851467,191.46228968929063,developper,paris,trap
10,25.211784004507358,181.91616557443822,designer,marseille,other
11,32.87902973299899,182.54493496762507,painter,paris,rock
12,34.81788119118496,177.37478911681035,teacher,madrid,trap
13,28.302647572627667,179.0769540654944,painter,paris,other
14,34.07955322338886,180.2586691712306,designer,lille,jazz
15,33.351733290162926,168.39567161346446,developper,lille,other
16,22.092275816997912,175.4926543220746,engineer,madrid,hiphop
17,23.320607257134554,185.5010999813208,teacher,madrid,trap
18,37.3949579673275,167.8658212366355,doctor,madrid,trap
19,24.06332717218988,180.33551383147994,developper,lille,trap
20,29.96052140259807,181.51728693993994,teacher,marseille,technical death metal
21,22.78588110633092,178.6914385145184,engineer,madrid,classical
22,29.114224464144222,185.83685312497838,developper,madrid,jazz
23,31.281852704537837,176.84157581596804,doctor,toulouse,rap
24,24.28362164061267,181.65340830140954,engineer,marseille,metal
25,27.16712245016395,177.2564377231062,fireman,lille,classical
26,24.928098364047237,177.2388729783432,doctor,lille,other
27,22.742743208036174,178.5614728461193,painter,toulouse,rock
28,22.920028335794548,181.40549407914554,developper,toulouse,trap
29,29.917756822135704,180.8156867721041,developper,paris,classical
30,22.866456895582004,182.02935543715657,painter,madrid,metal
31,36.74871236881027,182.18885497468057,developper,madrid,jazz
32,27.793586664344065,178.0704404264711,engineer,paris,hiphop
33,30.9416309483591,174.4434999691533,doctor,toulouse,jazz
34,34.55746798286828,174.32707505789034,engineer,lille,classical
35,37.530497050038186,182.61856232322359,fireman,toulouse,classical
36,40.80427304469262,181.79152405986537,fireman,lille,technical death metal
37,35.63197733777453,176.4528872262304,engineer,toulouse,other
38,26.411791312806365,177.08638293872968,teacher,toulouse,trap
39,27.6679346889874,173.1089089806669,painter,marseille,hiphop
40,10.851506401594243,169.43251520583607,fireman,lille,jazz
41,39.51544885105202,175.4731620982702,fireman,paris,jazz
42,29.765129764316494,176.7803037907296,developper,lille,hiphop
43,34.526396441937436,174.62176014492957,engineer,lille,other
44,24.321839926867334,182.79637588289216,engineer,lille,rock
